name,credit,class,for,totalstudent,day,shift,at,lectures
Phân tích hồi quy và ứng dụng,3,MAT3379 2,KHDL,30,4,1-5,PM,Nguyễn Bảo Ngọc
Quản trị dữ liệu lớn,3,"MAT3378 1,2,3",KHDL,,3,6-7,201-T5,Phạm Tiến Lâm
Quản trị dữ liệu lớn,3,MAT3378 1,KHDL,20,4,6-10,PM,"Phạm Tiến Lâm
Đặng Văn Báu"
Quản trị dữ liệu lớn,3,MAT3378 2,KHDL,20,4,6-10,PM,"Phạm Tiến Lâm
Đặng Văn Báu"
Quản trị dữ liệu lớn,3,MAT3378 3,KHDL,20,4,6-10,PM,"Phạm Tiến Lâm
Đặng Văn Báu"
Tiếng Anh chuyên ngành khoa học máy tính,3,MAT1205E 1,KHMT&TT,60,2,6-8,206-T5,Đỗ Thanh Hà
Phương trình vi phân,3,MAT2403 2,KHMT&TT,60,6,4-5,201-T5,Nguyễn Hữu Dư
Phương trình vi phân,3,MAT2403 2,KHMT&TT,60,3,1-2,201-T5,Lê Bá Dũng
Tối ưu hóa,3,MAT2407 3,KHMT&TT,60,3,4-5,206-T5,Nguyễn Ngọc Phan
Tối ưu hóa,3,MAT2407 3,KHMT&TT,60,4,4-5,104-T4,Nguyễn Ngọc Phan
Nguyên lí hệ điều hành,3,"MAT3550E 1,2",KHMT&TT,,5,6-7,205-T5,Hoàng Quốc Hùng
Nguyên lí hệ điều hành,3,MAT3550E 1,KHMT&TT,25,3,6-10,PM,"Hoàng Quốc Hùng
BMTH"
Nguyên lí hệ điều hành,3,MAT3550E 2,KHMT&TT,25,3,6-10,PM,"Hoàng Quốc Hùng
BMTH"
Xác suất - Thống kê,4,MAT2323 1,KHMT&TT,60,4,1-2,311-T5,Lê Vĩ
Xác suất - Thống kê,4,MAT2323 1,KHMT&TT,60,6,1-3,306-T5,Lê Vĩ
Cơ sở văn hóa Việt Nam,3,Môn chung,KHMT&TT,,,,#N/A,0
Khoa học trái đất và sự sống,3,Môn chung,KHMT&TT,,,,#N/A,0
Nhập môn Robotics,3,Môn chung,KHMT&TT,,,,#N/A,0
Tiếng Anh chuyên ngành khoa học máy tính,2,MAT1205E 2,KHMT&TT,60,2,3-5,104-T5,Đỗ Thanh Hà
Phương trình vi phân,3,MAT2403 3,KHMT&TT,60,4,1-2,207-T5,Nguyễn Thụy Trung
Phương trình vi phân,3,MAT2403 3,KHMT&TT,60,6,1-2,207-T5,Lê Bá Dũng
Tối ưu hóa,3,MAT2407 4,KHMT&TT,60,3,4-5,202-T4,Hoàng Nam Dũng
Tối ưu hóa,3,MAT2407 4,KHMT&TT,60,5,4-5,204-T4,Hoàng Anh Quân
Nguyễn lí hệ điều hành,3,"MAT3550E 3,4",KHMT&TT,,5,9-10,103-T5,Hoàng Quốc Hùng
